LeveId,Name,Type,Class,Level,Location,Cost,Expansion,Retired
21,In with the New,Tradecraft,CRP,1,Gridania,1,ARR,
22,Touch and Heal,Tradecraft,CRP,1,Gridania,1,ARR,
23,A Clogful of Camaraderie,Tradecraft,CRP,1,Central Shroud,1,ARR,
24,Bowing Out,Tradecraft,CRP,1,Central Shroud,1,ARR,
25,Got Your Back,Tradecraft,CRP,1,Central Shroud,1,ARR,
26,Gridania's Got Talent,Tradecraft,CRP,1,Gridania,1,ARR,
27,Bows for the Boys,Tradecraft,CRP,5,Gridania,1,ARR,
28,Shields for the Serpents,Tradecraft,CRP,5,Gridania,1,ARR,
29,Spears and Sorcery,Tradecraft,CRP,5,Central Shroud,1,ARR,
30,Leaving without Leave,Tradecraft,CRP,5,Central Shroud,1,ARR,
31,A Sword in Hand,Tradecraft,CRP,5,Central Shroud,1,ARR,
32,Compulsory Conjury,Tradecraft,CRP,5,Gridania,1,ARR,
33,Citizens' Canes,Tradecraft,CRP,10,Gridania,1,ARR,
34,On the Move,Tradecraft,CRP,10,Gridania,1,ARR,
35,Raise the Roof,Tradecraft,CRP,10,Central Shroud,1,ARR,
36,Say It with Spears,Tradecraft,CRP,10,Central Shroud,1,ARR,
37,Life's a Stitch,Tradecraft,CRP,10,Central Shroud,1,ARR,
38,Shielding Sales,Tradecraft,CRP,10,Gridania,1,ARR,
39,Re-crating the Scene,Tradecraft,CRP,15,Gridania,1,ARR,
40,Nightmare on My Street,Tradecraft,CRP,15,Gridania,1,ARR,
41,Driving Up the Wall,Tradecraft,CRP,15,East Shroud,1,ARR,
42,Nothing to Hide,Tradecraft,CRP,15,East Shroud,1,ARR,
43,What You Need,Tradecraft,CRP,15,East Shroud,1,ARR,
44,Bowing to Necessity,Tradecraft,CRP,15,Gridania,1,ARR,
45,As the Worm Turns,Tradecraft,CRP,20,Gridania,1,ARR,
46,Behind the Mask,Tradecraft,CRP,20,Gridania,1,ARR,
47,Militia on My Mind,Tradecraft,CRP,20,South Shroud,1,ARR,
48,Grinding It Out,Tradecraft,CRP,20,South Shroud,1,ARR,
49,Polearms Aplenty,Tradecraft,CRP,20,South Shroud,1,ARR,
50,Wall Not Found,Tradecraft,CRP,20,South Shroud,1,ARR,
51,Daddy's Little Girl,Tradecraft,CRP,25,Gridania,1,ARR,
52,Tools for the Tools,Tradecraft,CRP,25,South Shroud,1,ARR,
53,Armoires of the Rich and Famous,Tradecraft,CRP,25,Gridania,1,ARR,
54,Storm of Swords,Tradecraft,CRP,25,South Shroud,1,ARR,
55,Toys of Summer,Tradecraft,CRP,25,South Shroud,1,ARR,
56,Heal Away,Tradecraft,CRP,25,South Shroud,1,ARR,
57,Knock on Wood,Tradecraft,CRP,30,Eastern La Noscea,1,ARR,
58,An Expected Tourney,Tradecraft,CRP,30,Gridania,1,ARR,
59,Ceremonial Spears,Tradecraft,CRP,30,Gridania,1,ARR,
60,The Lone Bowman,Tradecraft,CRP,30,Eastern La Noscea,1,ARR,
61,Live Freelance or Die,Tradecraft,CRP,30,Eastern La Noscea,1,ARR,
62,The Long Lance of the Law,Tradecraft,CRP,30,Eastern La Noscea,1,ARR,
63,Stay on Target,Tradecraft,CRP,35,Coerthas Central Highlands,1,ARR,
64,A Tree Grew in Gridania,Tradecraft,CRP,35,Gridania,1,ARR,
65,Flintstone Fight,Tradecraft,CRP,35,Gridania,1,ARR,
66,Grippy When Wet,Tradecraft,CRP,35,Coerthas Central Highlands,1,ARR,
67,"The Cold, Cold Ground",Tradecraft,CRP,35,Coerthas Central Highlands,1,ARR,
68,Bend It Like Durendaire,Tradecraft,CRP,35,Coerthas Central Highlands,1,ARR,
69,The Arsenal of Theocracy,Tradecraft,CRP,40,Coerthas Central Highlands,1,ARR,
70,Greenstone for Greenhorns,Tradecraft,CRP,40,Gridania,1,ARR,
71,Spin It Like You Mean It,Tradecraft,CRP,40,Gridania,1,ARR,
72,A Winning Combo,Tradecraft,CRP,40,Coerthas Central Highlands,1,ARR,
73,The Turning Point,Tradecraft,CRP,40,Coerthas Central Highlands,1,ARR,
74,Ready for a Rematch,Tradecraft,CRP,40,Coerthas Central Highlands,1,ARR,
75,Trident and Error,Tradecraft,CRP,45,Mor Dhona,1,ARR,
76,Clogs of War,Tradecraft,CRP,45,Gridania,1,ARR,
77,You Do the Heavy Lifting,Tradecraft,CRP,45,Gridania,1,ARR,
78,Bow Down to Magic,Tradecraft,CRP,45,Mor Dhona,1,ARR,
79,Bowing to Greater Power,Tradecraft,CRP,45,Mor Dhona,1,ARR,
80,"Incant Now, Think Later",Tradecraft,CRP,45,Mor Dhona,1,ARR,
81,Red in the Head,Tradecraft,LTW,1,Gridania,1,ARR,
82,Underneath It All,Tradecraft,LTW,1,Gridania,1,ARR,
83,Sole Traders,Tradecraft,LTW,1,Central Shroud,1,ARR,
84,These Boots Are Made for Wailing,Tradecraft,LTW,1,Central Shroud,1,ARR,
85,Sticking Their Necks Out,Tradecraft,LTW,1,Central Shroud,1,ARR,
86,Tan Before the Ban,Tradecraft,LTW,1,Gridania,1,ARR,
87,Mind over Muzzle,Tradecraft,LTW,5,Gridania,1,ARR,
88,From the Sands to the Stage,Tradecraft,LTW,5,Gridania,1,ARR,
89,In Their Shoes,Tradecraft,LTW,5,Central Shroud,1,ARR,
90,A Thorn in One's Hide,Tradecraft,LTW,5,Central Shroud,1,ARR,
91,A Place to Call Helm,Tradecraft,LTW,5,Central Shroud,1,ARR,
92,Throwing Down the Gauntlet,Tradecraft,LTW,5,Gridania,1,ARR,
93,Quelling Bloody Rumors,Tradecraft,LTW,10,Gridania,1,ARR,
94,The Bards' Guards,Tradecraft,LTW,10,Gridania,1,ARR,
95,Saddle Sore,Tradecraft,LTW,10,Central Shroud,1,ARR,
96,Only the Best,Tradecraft,LTW,10,Central Shroud,1,ARR,
97,Simply the Best,Tradecraft,LTW,10,Central Shroud,1,ARR,
98,Targe Up,Tradecraft,LTW,10,Gridania,1,ARR,
99,Choke Hold,Tradecraft,LTW,15,Gridania,1,ARR,
100,Heads Up,Tradecraft,LTW,15,Gridania,1,ARR,
101,Skin off Their Backs,Tradecraft,LTW,15,East Shroud,1,ARR,
102,Back in the Band,Tradecraft,LTW,15,East Shroud,1,ARR,
103,On Their Feet Again,Tradecraft,LTW,15,East Shroud,1,ARR,
104,A Rush on Ringbands,Tradecraft,LTW,15,Gridania,1,ARR,
105,Playing the Part,Tradecraft,LTW,20,Gridania,1,ARR,
106,Fire and Hide,Tradecraft,LTW,20,Gridania,1,ARR,
107,My Sole to Take,Tradecraft,LTW,20,South Shroud,1,ARR,
108,Hands On,Tradecraft,LTW,20,South Shroud,1,ARR,
109,Packing a Punch,Tradecraft,LTW,20,South Shroud,1,ARR,
110,Open to Attack,Tradecraft,LTW,20,South Shroud,1,ARR,
111,Men Who Scare Up Goats,Tradecraft,LTW,25,Gridania,1,ARR,
112,Just Rewards,Tradecraft,LTW,25,South Shroud,1,ARR,
113,Breeches Served Cold,Tradecraft,LTW,25,Gridania,1,ARR,
114,"No Risk, No Reward",Tradecraft,LTW,25,South Shroud,1,ARR,
115,Campaign in the Membrane,Tradecraft,LTW,25,South Shroud,1,ARR,
116,Quicker than Sand,Tradecraft,LTW,25,South Shroud,1,ARR,
117,Emergency Patches,Tradecraft,LTW,30,Eastern La Noscea,1,ARR,
118,Quality over Quantity,Tradecraft,LTW,30,Gridania,1,ARR,
119,Best Served Toad,Tradecraft,LTW,30,Gridania,1,ARR,
120,The Hand that Bleeds,Tradecraft,LTW,30,Eastern La Noscea,1,ARR,
121,Slave to Fashion,Tradecraft,LTW,30,Eastern La Noscea,1,ARR,
122,Subordinate Clause,Tradecraft,LTW,30,Eastern La Noscea,1,ARR,
123,The Righteous Tools for the Job,Tradecraft,LTW,35,Coerthas Central Highlands,1,ARR,
124,Soft Shoe Shuffle,Tradecraft,LTW,35,Gridania,1,ARR,
125,Supply Side Logic,Tradecraft,LTW,35,Gridania,1,ARR,
126,Springtime for Coerthas,Tradecraft,LTW,35,Coerthas Central Highlands,1,ARR,
127,Through a Glass Brightly,Tradecraft,LTW,35,Coerthas Central Highlands,1,ARR,
128,First They Came for the Heretics,Tradecraft,LTW,35,Coerthas Central Highlands,1,ARR,
129,The Birdmen of Ishgard,Tradecraft,LTW,40,Coerthas Central Highlands,1,ARR,
130,Skirt Chaser,Tradecraft,LTW,40,Gridania,1,ARR,
131,The Tao of Rabbits,Tradecraft,LTW,40,Gridania,1,ARR,
132,Foot Blues,Tradecraft,LTW,40,Coerthas Central Highlands,1,ARR,
133,Not So Alike in Dignity,Tradecraft,LTW,40,Coerthas Central Highlands,1,ARR,
134,"It's Not a Job, It's a Calling",Tradecraft,LTW,40,Coerthas Central Highlands,1,ARR,
135,Hold On Tight,Tradecraft,LTW,45,Mor Dhona,1,ARR,
136,Too Hot to Handle,Tradecraft,LTW,45,Gridania,1,ARR,
137,Handle with Care,Tradecraft,LTW,45,Gridania,1,ARR,
138,Fuss in Boots,Tradecraft,LTW,45,Mor Dhona,1,ARR,
139,Tenderfoot Moments,Tradecraft,LTW,45,Mor Dhona,1,ARR,
140,Spelling Me Softly,Tradecraft,LTW,45,Mor Dhona,1,ARR,
141,Proly Hatchet,Tradecraft,BSM,1,Limsa Lominsa,1,ARR,
142,Hells Bells,Tradecraft,BSM,1,Limsa Lominsa,1,ARR,
143,Mending Fences,Tradecraft,BSM,1,Lower La Noscea,1,ARR,
144,Axe Me Anything,Tradecraft,BSM,1,Lower La Noscea,1,ARR,
145,The Unkindest Cut,Tradecraft,BSM,1,Lower La Noscea,1,ARR,
146,Thank You for Your Business,Tradecraft,BSM,1,Limsa Lominsa,1,ARR,
147,Stainless Chef,Tradecraft,BSM,5,Limsa Lominsa,1,ARR,
148,"I, Gladius",Tradecraft,BSM,5,Limsa Lominsa,1,ARR,
149,Bring Me the Head Knife of Al'bedo Derssia,Tradecraft,BSM,5,Lower La Noscea,1,ARR,
150,Down on the Pharm,Tradecraft,BSM,5,Lower La Noscea,1,ARR,
151,A Hit Job,Tradecraft,BSM,5,Lower La Noscea,1,ARR,
152,"As Above, Below",Tradecraft,BSM,5,Limsa Lominsa,1,ARR,
153,Farriers of Fortune,Tradecraft,BSM,10,Limsa Lominsa,1,ARR,
154,Anutha Spatha,Tradecraft,BSM,10,Limsa Lominsa,1,ARR,
155,Port of Call: Ul'dah,Tradecraft,BSM,10,Western La Noscea,1,ARR,
156,Peddle to the Metal,Tradecraft,BSM,10,Western La Noscea,1,ARR,
157,I'm into Leather,Tradecraft,BSM,10,Western La Noscea,1,ARR,
158,Twice as Slice,Tradecraft,BSM,10,Limsa Lominsa,1,ARR,
159,Smelt and Dealt,Tradecraft,BSM,15,Limsa Lominsa,1,ARR,
160,Awl or Nothing,Tradecraft,BSM,15,Limsa Lominsa,1,ARR,
161,Riveting Run,Tradecraft,BSM,15,Western La Noscea,1,ARR,
162,Get a Little Bit Closer,Tradecraft,BSM,15,Western La Noscea,1,ARR,
163,Honest Ballast,Tradecraft,BSM,15,Western La Noscea,1,ARR,
164,Tools of the Trade,Tradecraft,BSM,15,Limsa Lominsa,1,ARR,
165,Unseamly Conditions,Tradecraft,BSM,20,Limsa Lominsa,1,ARR,
166,Claw Daddy,Tradecraft,BSM,20,Limsa Lominsa,1,ARR,
167,Hearth Maul,Tradecraft,BSM,20,South Shroud,1,ARR,
168,Powderpost Derby,Tradecraft,BSM,20,South Shroud,1,ARR,
169,The Devil's Workshop,Tradecraft,BSM,20,South Shroud,1,ARR,
170,When Rhalgr Met Nophica,Tradecraft,BSM,20,South Shroud,1,ARR,
171,Time to Upgrade,Tradecraft,BSM,25,Limsa Lominsa,1,ARR,
172,Mors Dagger,Tradecraft,BSM,25,South Shroud,1,ARR,
173,Cleaving the Glim,Tradecraft,BSM,25,Limsa Lominsa,1,ARR,
174,Lancers' Creed,Tradecraft,BSM,25,South Shroud,1,ARR,
175,I Saw What You Did There,Tradecraft,BSM,25,South Shroud,1,ARR,
176,That's Some Fine Grinding,Tradecraft,BSM,25,South Shroud,1,ARR,
177,The Naked Blade,Tradecraft,BSM,30,Eastern La Noscea,1,ARR,
178,Out on a Limb,Tradecraft,BSM,30,Limsa Lominsa,1,ARR,
179,Can You Spare a Dolabra,Tradecraft,BSM,30,Limsa Lominsa,1,ARR,
180,A Spy in the House of Love,Tradecraft,BSM,30,Eastern La Noscea,1,ARR,
181,Hard Knock Life,Tradecraft,BSM,30,Eastern La Noscea,1,ARR,
182,Don't Fear the Reaper,Tradecraft,BSM,30,Eastern La Noscea,1,ARR,
183,You Spin Me Round,Tradecraft,BSM,35,Coerthas Central Highlands,1,ARR,
184,Awl about Who You Know,Tradecraft,BSM,35,Limsa Lominsa,1,ARR,
185,Spice Cadet,Tradecraft,BSM,35,Limsa Lominsa,1,ARR,
186,Lending a Hand,Tradecraft,BSM,35,Coerthas Central Highlands,1,ARR,
187,Colder than Steel,Tradecraft,BSM,35,Coerthas Central Highlands,1,ARR,
188,Seemed Like the Thing to Get,Tradecraft,BSM,35,Coerthas Central Highlands,1,ARR,
189,A Weighty Question,Tradecraft,BSM,40,Coerthas Central Highlands,1,ARR,
190,A Mixed Message,Tradecraft,BSM,40,Limsa Lominsa,1,ARR,
191,File That under Whatever,Tradecraft,BSM,40,Limsa Lominsa,1,ARR,
192,Kitchen Casualties,Tradecraft,BSM,40,Coerthas Central Highlands,1,ARR,
193,Get Me to the War on Time,Tradecraft,BSM,40,Coerthas Central Highlands,1,ARR,
194,Streamlining Operations,Tradecraft,BSM,40,Coerthas Central Highlands,1,ARR,
195,I'd Rather Be Digging,Tradecraft,BSM,45,Mor Dhona,1,ARR,
196,"No Refunds, Only Exchanges",Tradecraft,BSM,45,Limsa Lominsa,1,ARR,
197,You Stay on That Side,Tradecraft,BSM,45,Limsa Lominsa,1,ARR,
198,Pop That Top,Tradecraft,BSM,45,Mor Dhona,1,ARR,
199,Talon Terrors,Tradecraft,BSM,45,Mor Dhona,1,ARR,
200,I Maul Right,Tradecraft,BSM,45,Mor Dhona,1,ARR,
201,Ain't Got No Ingots,Tradecraft,ARM,1,Limsa Lominsa,1,ARR,
202,Skillet Labor,Tradecraft,ARM,1,Limsa Lominsa,1,ARR,
203,Eyes Bigger than the Plate,Tradecraft,ARM,1,Lower La Noscea,1,ARR,
204,The Alloyed Truth,Tradecraft,ARM,1,Lower La Noscea,1,ARR,
205,Don't Hit Me One More Time,Tradecraft,ARM,1,Lower La Noscea,1,ARR,
206,Distill It Yourself,Tradecraft,ARM,1,Limsa Lominsa,1,ARR,
207,You've Got Mail,Tradecraft,ARM,5,Limsa Lominsa,1,ARR,
208,Headbangers' Thrall,Tradecraft,ARM,5,Limsa Lominsa,1,ARR,
209,Bronzed and Burnt,Tradecraft,ARM,5,Lower La Noscea,1,ARR,
210,Rodents of Unusual Size,Tradecraft,ARM,5,Lower La Noscea,1,ARR,
211,Strait Ain't the Gate,Tradecraft,ARM,5,Lower La Noscea,1,ARR,
212,Get into Their Heads,Tradecraft,ARM,5,Limsa Lominsa,1,ARR,
213,"Waste Not, Want Not",Tradecraft,ARM,10,Limsa Lominsa,1,ARR,
214,All Ovo That,Tradecraft,ARM,10,Limsa Lominsa,1,ARR,
215,Greavous Losses,Tradecraft,ARM,10,Western La Noscea,1,ARR,
216,Cook Intentions,Tradecraft,ARM,10,Western La Noscea,1,ARR,
217,Still the Best,Tradecraft,ARM,10,Western La Noscea,1,ARR,
218,Stadium Envy,Tradecraft,ARM,10,Limsa Lominsa,1,ARR,
219,Cover Girl,Tradecraft,ARM,15,Limsa Lominsa,1,ARR,
220,Fashion Weak,Tradecraft,ARM,15,Limsa Lominsa,1,ARR,
221,Kiss the Pan (Good-bye),Tradecraft,ARM,15,Western La Noscea,1,ARR,
222,A Well-rounded Crew,Tradecraft,ARM,15,Western La Noscea,1,ARR,
223,A Firm Hand,Tradecraft,ARM,15,Western La Noscea,1,ARR,
224,Still Crazy After All These Years,Tradecraft,ARM,15,Limsa Lominsa,1,ARR,
225,Night Squawker,Tradecraft,ARM,20,Limsa Lominsa,1,ARR,
226,Get Me the Hard Stuff,Tradecraft,ARM,20,Limsa Lominsa,1,ARR,
227,246 Kinds of Cheese,Tradecraft,ARM,20,South Shroud,1,ARR,
228,No Hand-me-downs,Tradecraft,ARM,20,South Shroud,1,ARR,
229,Not Enough Headroom,Tradecraft,ARM,20,South Shroud,1,ARR,
230,I Was a Teenage Wailer,Tradecraft,ARM,20,South Shroud,1,ARR,
231,Ingot We Trust,Tradecraft,ARM,25,Limsa Lominsa,1,ARR,
232,A Leg to Stand On,Tradecraft,ARM,25,South Shroud,1,ARR,
233,Insistent Sallets,Tradecraft,ARM,25,Limsa Lominsa,1,ARR,
234,Need for Mead,Tradecraft,ARM,25,South Shroud,1,ARR,
235,Hot for Teacher,Tradecraft,ARM,25,South Shroud,1,ARR,
236,Get Shirty,Tradecraft,ARM,25,South Shroud,1,ARR,
237,Eyes on a Hard Body,Tradecraft,ARM,30,Eastern La Noscea,1,ARR,
238,Aurochs Star,Tradecraft,ARM,30,Limsa Lominsa,1,ARR,
239,Romper Stomper,Tradecraft,ARM,30,Limsa Lominsa,1,ARR,
240,Skillet Scandal,Tradecraft,ARM,30,Eastern La Noscea,1,ARR,
241,Kitty Get Your Helm,Tradecraft,ARM,30,Eastern La Noscea,1,ARR,
242,They've Got Legs,Tradecraft,ARM,30,Eastern La Noscea,1,ARR,
243,Very Slow Array,Tradecraft,ARM,35,Coerthas Central Highlands,1,ARR,
244,Hollow Hallmarks,Tradecraft,ARM,35,Limsa Lominsa,1,ARR,
245,Get Me the Usual,Tradecraft,ARM,35,Limsa Lominsa,1,ARR,
246,War Is Tough on the Hands,Tradecraft,ARM,35,Coerthas Central Highlands,1,ARR,
247,Skillet to the Stars,Tradecraft,ARM,35,Coerthas Central Highlands,1,ARR,
248,I've Got You under My Skin,Tradecraft,ARM,35,Coerthas Central Highlands,1,ARR,
249,Liquid Persuasion,Tradecraft,ARM,40,Coerthas Central Highlands,1,ARR,
250,Everybody Cut Footloose,Tradecraft,ARM,40,Limsa Lominsa,1,ARR,
251,Distill and Know that I'm Right,Tradecraft,ARM,40,Limsa Lominsa,1,ARR,
252,Metal Fatigue,Tradecraft,ARM,40,Coerthas Central Highlands,1,ARR,
253,Family Secrets,Tradecraft,ARM,40,Coerthas Central Highlands,1,ARR,
254,Employee Retention,Tradecraft,ARM,40,Coerthas Central Highlands,1,ARR,
255,Feasting the Night Away,Tradecraft,ARM,45,Mor Dhona,1,ARR,
256,Cobalt Aforethought,Tradecraft,ARM,45,Limsa Lominsa,1,ARR,
257,Some Dragoons Have All the Luck,Tradecraft,ARM,45,Limsa Lominsa,1,ARR,
258,Parasitic Win,Tradecraft,ARM,45,Mor Dhona,1,ARR,
259,Booty Call,Tradecraft,ARM,45,Mor Dhona,1,ARR,
260,Dealing with the Tough Stuff,Tradecraft,ARM,45,Mor Dhona,1,ARR,
261,Pork Is a Salty Food,Tradecraft,CUL,1,Limsa Lominsa,1,ARR,
262,Trout Fishing in Limsa,Tradecraft,CUL,1,Limsa Lominsa,1,ARR,
263,In Hot Water,Tradecraft,CUL,1,Lower La Noscea,1,ARR,
264,What a Sap,Tradecraft,CUL,1,Lower La Noscea,1,ARR,
265,Meat-lover's Special,Tradecraft,CUL,1,Lower La Noscea,1,ARR,
266,It's Always Sunny in Vylbrand,Tradecraft,CUL,1,Limsa Lominsa,1,ARR,
267,Whip It,Tradecraft,CUL,5,Limsa Lominsa,1,ARR,
268,Jack of All Plates,Tradecraft,CUL,5,Limsa Lominsa,1,ARR,
269,A Real Fungi,Tradecraft,CUL,5,Lower La Noscea,1,ARR,
270,Putting the Squeeze On,Tradecraft,CUL,5,Lower La Noscea,1,ARR,
271,Butter Me Up,Tradecraft,CUL,5,Lower La Noscea,1,ARR,
272,Fishy Revelations,Tradecraft,CUL,5,Limsa Lominsa,1,ARR,
273,Keep Your Powder Dry,Tradecraft,CUL,10,Limsa Lominsa,1,ARR,
274,Pretty Enough to Eat,Tradecraft,CUL,10,Limsa Lominsa,1,ARR,
275,Go Ahead and Dig In,Tradecraft,CUL,10,Western La Noscea,1,ARR,
276,Chew the Fat,Tradecraft,CUL,10,Western La Noscea,1,ARR,
277,Fisher of Men,Tradecraft,CUL,10,Western La Noscea,1,ARR,
278,The Bango Zango Diet,Tradecraft,CUL,10,Limsa Lominsa,1,ARR,
279,Omelette's Be Friends,Tradecraft,CUL,15,Limsa Lominsa,1,ARR,
280,Shy Is the Oyster,Tradecraft,CUL,15,Limsa Lominsa,1,ARR,
281,A Total Nut Job,Tradecraft,CUL,15,Western La Noscea,1,ARR,
282,Sweet Smell of Success,Tradecraft,CUL,15,Western La Noscea,1,ARR,
283,Rustic Repast,Tradecraft,CUL,15,Western La Noscea,1,ARR,
284,Flakes for Friends,Tradecraft,CUL,15,Limsa Lominsa,1,ARR,
285,A Grape Idea,Tradecraft,CUL,20,Limsa Lominsa,1,ARR,
286,Brain Food,Tradecraft,CUL,20,Limsa Lominsa,1,ARR,
287,Feast of All Soles,Tradecraft,CUL,20,South Shroud,1,ARR,
288,For Crumbs' Sake,Tradecraft,CUL,20,South Shroud,1,ARR,
289,Picnic Panic,Tradecraft,CUL,20,South Shroud,1,ARR,
290,Food Fight,Tradecraft,CUL,20,South Shroud,1,ARR,
291,Convalescence Precedes Essence,Tradecraft,CUL,25,Limsa Lominsa,1,ARR,
292,Cooking with Gas,Tradecraft,CUL,25,South Shroud,1,ARR,
293,Fever Pitch,Tradecraft,CUL,25,Limsa Lominsa,1,ARR,
